"Category","Publications (total)"
1972,7933
1973,8712
1974,9845
1975,11148
1976,12054
1977,13142
1978,14417
1979,15364
1980,16937
1981,18271
1982,19396
1983,20388
1984,21877
1985,23089
1986,25384
1987,26900
1988,28649
1989,31784
1990,33814
1991,35536
1992,38853
1993,38679
1994,40826
1995,43958
1996,48412
1997,51538
1998,54083
1999,56830
2000,64110
2001,66365
2002,69524
2003,74216
2004,79382
2005,84380
2006,90494
2007,93032
2008,99803
2009,108209
2010,111754
2011,119339
2012,126624
2013,135697
2014,140856
2015,142645
2016,151210
2017,156631
2018,165703
2019,178091
2020,207595
2021,24154
