"","X.2","X.1","X","int","rep","stability","oscilations","eig.mean"
"1",1,1,1,0,1,TRUE,FALSE,-0.20154921853637
"2",2,2,2,0,2,TRUE,FALSE,-0.199370160214039
"3",3,3,3,0,3,TRUE,FALSE,-0.198494428294242
"4",4,4,4,0,4,TRUE,FALSE,-0.202439078548725
"5",5,5,5,0,5,TRUE,FALSE,-0.203474315694129
"6",6,6,6,0,6,TRUE,FALSE,-0.199720851041045
"7",7,7,7,0,7,TRUE,FALSE,-0.199715320241519
"8",8,8,8,0,8,TRUE,FALSE,-0.198265383484261
"9",9,9,9,0,9,TRUE,FALSE,-0.196381478945404
"10",10,10,10,0,10,TRUE,FALSE,-0.202078835359273
"11",11,11,11,0,11,TRUE,FALSE,-0.207429188142231
"12",12,12,12,0,12,TRUE,FALSE,-0.200561452331951
"13",13,13,13,0,13,TRUE,FALSE,-0.201914697576787
"14",14,14,14,0,14,TRUE,FALSE,-0.202095042094859
"15",15,15,15,0,15,TRUE,FALSE,-0.19865777386645
"16",16,16,16,0,16,TRUE,FALSE,-0.202806931255714
"17",17,17,17,0,17,TRUE,FALSE,-0.205908229905574
"18",18,18,18,0,18,TRUE,FALSE,-0.197861534856695
"19",19,19,19,0,19,TRUE,FALSE,-0.204301501264229
"20",20,20,20,0,20,TRUE,FALSE,-0.203644525841974
"21",21,21,21,0,21,TRUE,FALSE,-0.20080944989538
"22",22,22,22,0,22,TRUE,FALSE,-0.197508918607881
"23",23,23,23,0,23,TRUE,FALSE,-0.197147250256837
"24",24,24,24,0,24,TRUE,FALSE,-0.201447425552677
"25",25,25,25,0,25,TRUE,FALSE,-0.201619387415516
"26",26,26,26,0,26,TRUE,FALSE,-0.197008775052929
"27",27,27,27,0,27,TRUE,FALSE,-0.1980623420713
"28",28,28,28,0,28,TRUE,FALSE,-0.197479756694907
"29",29,29,29,0,29,TRUE,FALSE,-0.202367231862918
"30",30,30,30,0,30,TRUE,FALSE,-0.197253052325481
"31",31,31,31,0,31,TRUE,FALSE,-0.197481162487792
"32",32,32,32,0,32,TRUE,FALSE,-0.201895758438627
"33",33,33,33,0,33,TRUE,FALSE,-0.198742106902944
"34",34,34,34,0,34,TRUE,FALSE,-0.203321445657163
"35",35,35,35,0,35,TRUE,FALSE,-0.200951379476305
"36",36,36,36,0,36,TRUE,FALSE,-0.202448464320455
"37",37,37,37,0,37,TRUE,FALSE,-0.198121539925321
"38",38,38,38,0,38,TRUE,FALSE,-0.19424085757243
"39",39,39,39,0,39,TRUE,FALSE,-0.199569121574469
"40",40,40,40,0,40,TRUE,FALSE,-0.197644486379524
"41",41,41,41,0,41,TRUE,FALSE,-0.200836515314781
"42",42,42,42,0,42,TRUE,FALSE,-0.203215661777822
"43",43,43,43,0,43,TRUE,FALSE,-0.202115940950357
"44",44,44,44,0,44,TRUE,FALSE,-0.202784267528651
"45",45,45,45,0,45,TRUE,FALSE,-0.200970402138164
"46",46,46,46,0,46,TRUE,FALSE,-0.198300354942456
"47",47,47,47,0,47,TRUE,FALSE,-0.200203277020173
"48",48,48,48,0,48,TRUE,FALSE,-0.201603927874418
"49",49,49,49,0,49,TRUE,FALSE,-0.198383755751167
"50",50,50,50,0,50,TRUE,FALSE,-0.20078636092823
"51",51,51,51,0,51,TRUE,FALSE,-0.203708113618821
"52",52,52,52,0,52,TRUE,FALSE,-0.199189275166137
"53",53,53,53,0,53,TRUE,FALSE,-0.201701399663871
"54",54,54,54,0,54,TRUE,FALSE,-0.198056575178064
"55",55,55,55,0,55,TRUE,FALSE,-0.197527060203454
"56",56,56,56,0,56,TRUE,FALSE,-0.197558114626223
"57",57,57,57,0,57,TRUE,FALSE,-0.202511395170525
"58",58,58,58,0,58,TRUE,FALSE,-0.199192888062084
"59",59,59,59,0,59,TRUE,FALSE,-0.198710267835972
"60",60,60,60,0,60,TRUE,FALSE,-0.197420930415647
"61",61,61,61,0,61,TRUE,FALSE,-0.196614195697983
"62",62,62,62,0,62,TRUE,FALSE,-0.198275216312213
"63",63,63,63,0,63,TRUE,FALSE,-0.198601040533219
"64",64,64,64,0,64,TRUE,FALSE,-0.203744224630158
"65",65,65,65,0,65,TRUE,FALSE,-0.201516721955055
"66",66,66,66,0,66,TRUE,FALSE,-0.196938530705248
"67",67,67,67,0,67,TRUE,FALSE,-0.199992410886015
"68",68,68,68,0,68,TRUE,FALSE,-0.202499944445347
"69",69,69,69,0,69,TRUE,FALSE,-0.196105871125864
"70",70,70,70,0,70,TRUE,FALSE,-0.19924942410611
"71",71,71,71,0,71,TRUE,FALSE,-0.197249297645074
"72",72,72,72,0,72,TRUE,FALSE,-0.19866395630941
"73",73,73,73,0,73,TRUE,FALSE,-0.199766927648311
"74",74,74,74,0,74,TRUE,FALSE,-0.201553922466774
"75",75,75,75,0,75,TRUE,FALSE,-0.198640959419658
"76",76,76,76,0,76,TRUE,FALSE,-0.197930821138272
"77",77,77,77,0,77,TRUE,FALSE,-0.197856707956953
"78",78,78,78,0,78,TRUE,FALSE,-0.199932528526273
"79",79,79,79,0,79,TRUE,FALSE,-0.201113583192394
"80",80,80,80,0,80,TRUE,FALSE,-0.197011664008113
"81",81,81,81,0,81,TRUE,FALSE,-0.199308427667376
"82",82,82,82,0,82,TRUE,FALSE,-0.201433564283591
"83",83,83,83,0,83,TRUE,FALSE,-0.202751883926938
