"","sIntProp","nInt","rep","stability","oscilations","resilience"
"1",0,0,1,TRUE,FALSE,0.217219499006833
"2",0,0,2,TRUE,FALSE,0.228020145278072
"3",0,0,3,TRUE,FALSE,0.215746948365473
"4",0,0,4,TRUE,FALSE,0.211358434348205
"5",0,0,5,TRUE,FALSE,0.219618138875686
"6",0,0,6,TRUE,FALSE,0.223164482142189
"7",0,0,7,TRUE,FALSE,0.222386824814034
"8",0,0,8,TRUE,FALSE,0.214848135708002
"9",0,0,9,TRUE,FALSE,0.22323672426183
"10",0,0,10,TRUE,FALSE,0.217858509972278
"11",0,0,11,TRUE,FALSE,0.210000352809334
"12",0,0,12,TRUE,FALSE,0.214532591583957
"13",0,0,13,TRUE,FALSE,0.216388215004061
"14",0,0,14,TRUE,FALSE,0.216356001287074
"15",0,0,15,TRUE,FALSE,0.216035275153816
"16",0,0,16,TRUE,FALSE,0.213649827607585
"17",0,0,17,TRUE,FALSE,0.212804868979041
"18",0,0,18,TRUE,FALSE,0.228859809367555
"19",0,0,19,TRUE,FALSE,0.216943733651768
"20",0,0,20,TRUE,FALSE,0.212498744394965
"21",0,0,21,TRUE,FALSE,0.221445054970266
"22",0,0,22,TRUE,FALSE,0.214570862411882
"23",0,0,23,TRUE,FALSE,0.212178495545295
"24",0,0,24,TRUE,FALSE,0.211172582985666
"25",0,0,25,TRUE,FALSE,0.222915177996408
"26",0,0,26,TRUE,FALSE,0.219112347734279
"27",0,0,27,TRUE,FALSE,0.21829614454704
"28",0,0,28,TRUE,FALSE,0.2100824512865
"29",0,0,29,TRUE,FALSE,0.206951305418605
"30",0,0,30,TRUE,FALSE,0.216556842404889
"31",0,1,1,TRUE,TRUE,0.229040418628032
"32",0,1,2,TRUE,TRUE,0.233211686249162
"33",0,1,3,TRUE,TRUE,0.239351386758784
"34",0,1,4,TRUE,TRUE,0.22870373080953
"35",0,1,5,TRUE,TRUE,0.241355581447636
"36",0,1,6,TRUE,FALSE,0.234276202047207
"37",0,1,7,TRUE,TRUE,0.224543134690508
"38",0,1,8,TRUE,TRUE,0.215765585469224
"39",0,1,9,TRUE,TRUE,0.230164618028586
"40",0,1,10,TRUE,FALSE,0.229255258574368
"41",0,1,11,TRUE,TRUE,0.239844664314363
"42",0,1,12,TRUE,TRUE,0.228321987542892
"43",0,1,13,TRUE,TRUE,0.226478820135461
"44",0,1,14,TRUE,TRUE,0.235285962294442
"45",0,1,15,TRUE,TRUE,0.232605193784643
"46",0,1,16,TRUE,TRUE,0.225360492937173
"47",0,1,17,TRUE,TRUE,0.232799235211646
"48",0,1,18,TRUE,TRUE,0.2305053277335
"49",0,1,19,TRUE,TRUE,0.230284164420506
"50",0,1,20,TRUE,TRUE,0.237541026338711
"51",0,1,21,TRUE,TRUE,0.223894920368933
"52",0,1,22,TRUE,FALSE,0.239313479829044
"53",0,1,23,TRUE,TRUE,0.239037854788255
"54",0,1,24,TRUE,TRUE,0.224222677029501
"55",0,1,25,TRUE,TRUE,0.245823486480961
"56",0,1,26,TRUE,TRUE,0.229524745136668
"57",0,1,27,TRUE,TRUE,0.229371268396253
"58",0,1,28,TRUE,TRUE,0.227708583699038
"59",0,1,29,TRUE,TRUE,0.230071978417974
"60",0,1,30,TRUE,TRUE,0.226403640161757
"61",0,2,1,TRUE,TRUE,0.246773914283256
"62",0,2,2,TRUE,TRUE,0.221255660794873
"63",0,2,3,TRUE,TRUE,0.238612665645825
"64",0,2,4,TRUE,TRUE,0.247568956590344
"65",0,2,5,TRUE,TRUE,0.236233414548117
"66",0,2,6,TRUE,TRUE,0.248063544508874
"67",0,2,7,TRUE,TRUE,0.230798162104016
"68",0,2,8,TRUE,TRUE,0.24203841212877
"69",0,2,9,TRUE,TRUE,0.241379887727666
"70",0,2,10,TRUE,TRUE,0.227294653858986
"71",0,2,11,TRUE,TRUE,0.233208324918011
"72",0,2,12,TRUE,TRUE,0.229752443589612
"73",0,2,13,TRUE,TRUE,0.228255242046633
"74",0,2,14,TRUE,TRUE,0.237702976808388
"75",0,2,15,TRUE,TRUE,0.245819334893727
"76",0,2,16,TRUE,TRUE,0.242127349923567
"77",0,2,17,TRUE,TRUE,0.241232006157584
"78",0,2,18,TRUE,TRUE,0.230789365014747
"79",0,2,19,TRUE,TRUE,0.252628964870278
"80",0,2,20,TRUE,TRUE,0.231881007095832
"81",0,2,21,TRUE,TRUE,0.237847055161439
"82",0,2,22,TRUE,TRUE,0.227772943914842
"83",0,2,23,TRUE,TRUE,0.242720368134339
"84",0,2,24,TRUE,TRUE,0.248902370045018
"85",0,2,25,TRUE,FALSE,0.232885068797218
"86",0,2,26,TRUE,TRUE,0.231852482877779
"87",0,2,27,TRUE,TRUE,0.264244689837483
"88",0,2,28,TRUE,TRUE,0.237573767364825
"89",0,2,29,TRUE,TRUE,0.244245434040221
"90",0,2,30,TRUE,TRUE,0.231869499781814
"91",0,3,1,TRUE,TRUE,0.259230936624624
"92",0,3,2,TRUE,TRUE,0.23039022742186
"93",0,3,3,TRUE,TRUE,0.241840930332756
"94",0,3,4,TRUE,TRUE,0.248410511214158
"95",0,3,5,TRUE,TRUE,0.260853261112408
"96",0,3,6,TRUE,TRUE,0.226533331366845
"97",0,3,7,TRUE,TRUE,0.253000169304821
"98",0,3,8,TRUE,TRUE,0.228384560610588
"99",0,3,9,TRUE,TRUE,0.236575833738289
"100",0,3,10,TRUE,TRUE,0.253602981495532
"101",0,3,11,TRUE,TRUE,0.241287456817962
"102",0,3,12,TRUE,TRUE,0.228557873863769
"103",0,3,13,TRUE,TRUE,0.239845875609443
"104",0,3,14,TRUE,TRUE,0.246827911500469
"105",0,3,15,TRUE,TRUE,0.243826182947644
"106",0,3,16,TRUE,TRUE,0.27201163028162
"107",0,3,17,TRUE,TRUE,0.252779877923114
"108",0,3,18,TRUE,TRUE,0.226104131696472
"109",0,3,19,TRUE,TRUE,0.253478764557719
"110",0,3,20,TRUE,TRUE,0.238418726846164
"111",0,3,21,TRUE,TRUE,0.250730361771615
"112",0,3,22,TRUE,TRUE,0.246552497974693
"113",0,3,23,TRUE,TRUE,0.253847128150536
"114",0,3,24,TRUE,TRUE,0.262142500467026
"115",0,3,25,TRUE,TRUE,0.243234975320311
"116",0,3,26,TRUE,TRUE,0.228735024432461
"117",0,3,27,TRUE,TRUE,0.232940174419074
"118",0,3,28,TRUE,TRUE,0.23013152786576
"119",0,3,29,TRUE,TRUE,0.250936822388804
"120",0,3,30,TRUE,TRUE,0.239316152693551
"121",0,4,1,TRUE,TRUE,0.261381059205975
"122",0,4,2,TRUE,TRUE,0.248972779545015
"123",0,4,3,TRUE,TRUE,0.254534387525334
"124",0,4,4,TRUE,TRUE,0.258028227189523
"125",0,4,5,TRUE,TRUE,0.225319145268542
"126",0,4,6,TRUE,TRUE,0.263501232883106
"127",0,4,7,TRUE,TRUE,0.259060754137516
"128",0,4,8,TRUE,TRUE,0.238293927567428
"129",0,4,9,TRUE,TRUE,0.256878481064733
"130",0,4,10,TRUE,TRUE,0.230830125162135
"131",0,4,11,TRUE,TRUE,0.248184801323038
"132",0,4,12,TRUE,TRUE,0.251853507526654
"133",0,4,13,TRUE,TRUE,0.236540228841044
"134",0,4,14,TRUE,TRUE,0.235428411278838
"135",0,4,15,TRUE,TRUE,0.233024029409512
"136",0,4,16,TRUE,TRUE,0.250670067364853
"137",0,4,17,TRUE,TRUE,0.237615187741971
"138",0,4,18,TRUE,TRUE,0.258494102335079
"139",0,4,19,TRUE,TRUE,0.2472354829192
"140",0,4,20,TRUE,TRUE,0.271788247176372
"141",0,4,21,TRUE,TRUE,0.248643190314149
"142",0,4,22,TRUE,TRUE,0.252114318645484
"143",0,4,23,TRUE,TRUE,0.275904480688666
"144",0,4,24,TRUE,TRUE,0.261216839578524
"145",0,4,25,TRUE,TRUE,0.273863609736397
"146",0,4,26,TRUE,TRUE,0.259538114820791
"147",0,4,27,TRUE,TRUE,0.263555398672322
"148",0,4,28,TRUE,TRUE,0.247241457340508
"149",0,4,29,TRUE,TRUE,0.272209806964016
"150",0,4,30,TRUE,TRUE,0.243734828253281
"151",0,5,1,TRUE,TRUE,0.25825015863602
"152",0,5,2,TRUE,TRUE,0.258189726876879
"153",0,5,3,TRUE,TRUE,0.271177057912001
"154",0,5,4,TRUE,TRUE,0.239797101602655
"155",0,5,5,TRUE,TRUE,0.253452183328222
"156",0,5,6,TRUE,TRUE,0.241094616704231
"157",0,5,7,TRUE,TRUE,0.250079458235471
"158",0,5,8,TRUE,TRUE,0.234581117308833
"159",0,5,9,TRUE,TRUE,0.287866421319346
"160",0,5,10,TRUE,TRUE,0.247094397588715
"161",0,5,11,TRUE,TRUE,0.2536318837776
"162",0,5,12,TRUE,TRUE,0.249061403235589
"163",0,5,13,TRUE,TRUE,0.26557567192412
"164",0,5,14,TRUE,TRUE,0.270612408758236
"165",0,5,15,TRUE,TRUE,0.240513142845494
"166",0,5,16,TRUE,TRUE,0.277545386838673
"167",0,5,17,TRUE,TRUE,0.231646910422753
"168",0,5,18,TRUE,TRUE,0.251302666784866
"169",0,5,19,TRUE,TRUE,0.256926994990618
"170",0,5,20,TRUE,TRUE,0.264545277899521
"171",0,5,21,TRUE,TRUE,0.251168781332058
"172",0,5,22,TRUE,TRUE,0.264710773516191
"173",0,5,23,TRUE,TRUE,0.256768894313664
"174",0,5,24,TRUE,TRUE,0.234171102519411
"175",0,5,25,TRUE,TRUE,0.230647179036736
"176",0,5,26,TRUE,TRUE,0.254297848231263
"177",0,5,27,TRUE,TRUE,0.261445233385501
"178",0,5,28,TRUE,TRUE,0.257484618151105
"179",0,5,29,TRUE,TRUE,0.258977011908979
"180",0,5,30,TRUE,TRUE,0.266769651983503
"181",0,6,1,TRUE,TRUE,0.262824596096098
"182",0,6,2,TRUE,TRUE,0.291511495716415
"183",0,6,3,TRUE,TRUE,0.268368720498998
"184",0,6,4,TRUE,TRUE,0.260676255034034
"185",0,6,5,TRUE,TRUE,0.248098029585876
"186",0,6,6,TRUE,TRUE,0.25089583608
"187",0,6,7,TRUE,TRUE,0.2552841258285
"188",0,6,8,TRUE,TRUE,0.261083672175601
"189",0,6,9,TRUE,TRUE,0.283733086713539
"190",0,6,10,TRUE,TRUE,0.27140131368404
"191",0,6,11,TRUE,TRUE,0.244098081879604
"192",0,6,12,TRUE,TRUE,0.254229898851521
"193",0,6,13,TRUE,TRUE,0.23791076969659
"194",0,6,14,TRUE,TRUE,0.251178432751955
"195",0,6,15,TRUE,TRUE,0.244944428315033
"196",0,6,16,TRUE,TRUE,0.249117627932413
"197",0,6,17,TRUE,TRUE,0.277771573295954
"198",0,6,18,TRUE,TRUE,0.26512758562517
"199",0,6,19,TRUE,TRUE,0.259215355893954
"200",0,6,20,TRUE,TRUE,0.257034133300211
"201",0,6,21,TRUE,TRUE,0.253046454171841
"202",0,6,22,TRUE,TRUE,0.252985217325293
"203",0,6,23,TRUE,TRUE,0.268739116961561
"204",0,6,24,TRUE,TRUE,0.245749231892239
"205",0,6,25,TRUE,TRUE,0.266890586710979
"206",0,6,26,TRUE,TRUE,0.288502262615761
"207",0,6,27,TRUE,TRUE,0.25436232448213
"208",0,6,28,TRUE,TRUE,0.259994617948223
"209",0,6,29,TRUE,TRUE,0.257413608275245
"210",0,6,30,TRUE,TRUE,0.249479850071222
"211",0,7,1,TRUE,TRUE,0.260759052516637
"212",0,7,2,TRUE,TRUE,0.290940213256214
"213",0,7,3,TRUE,TRUE,0.255659287163866
"214",0,7,4,TRUE,TRUE,0.265621590217038
"215",0,7,5,TRUE,TRUE,0.26414039024981
"216",0,7,6,TRUE,TRUE,0.292296165538187
"217",0,7,7,TRUE,TRUE,0.268898017351183
"218",0,7,8,TRUE,TRUE,0.258883822104861
"219",0,7,9,TRUE,TRUE,0.290917536423981
"220",0,7,10,TRUE,TRUE,0.251566916137616
"221",0,7,11,TRUE,TRUE,0.254061465786784
"222",0,7,12,TRUE,TRUE,0.274292440611518
"223",0,7,13,TRUE,TRUE,0.270486383920422
"224",0,7,14,TRUE,TRUE,0.256645014167337
"225",0,7,15,TRUE,TRUE,0.262736793046742
"226",0,7,16,TRUE,TRUE,0.249536332741519
"227",0,7,17,TRUE,TRUE,0.243526132234793
"228",0,7,18,TRUE,TRUE,0.277881798727696
"229",0,7,19,TRUE,TRUE,0.271845187813941
"230",0,7,20,TRUE,TRUE,0.272761845355703
"231",0,7,21,TRUE,TRUE,0.265588341757289
"232",0,7,22,TRUE,TRUE,0.287317754298929
"233",0,7,23,TRUE,TRUE,0.235477751847712
"234",0,7,24,TRUE,TRUE,0.27263261539689
"235",0,7,25,TRUE,TRUE,0.267305407744632
"236",0,7,26,TRUE,TRUE,0.25122539642265
"237",0,7,27,TRUE,TRUE,0.269212964134155
"238",0,7,28,TRUE,TRUE,0.285027109875296
"239",0,7,29,TRUE,TRUE,0.259692592319346
"240",0,7,30,TRUE,TRUE,0.23967509712784
"241",0,8,1,TRUE,TRUE,0.273919532438607
"242",0,8,2,TRUE,TRUE,0.256554495241218
"243",0,8,3,TRUE,TRUE,0.27604138262358
"244",0,8,4,TRUE,TRUE,0.265743247748815
"245",0,8,5,TRUE,TRUE,0.242322679238057
"246",0,8,6,TRUE,TRUE,0.261122674724672
"247",0,8,7,TRUE,TRUE,0.248540006911321
"248",0,8,8,TRUE,TRUE,0.278412919460044
"249",0,8,9,TRUE,TRUE,0.261677711597526
"250",0,8,10,TRUE,TRUE,0.269279246441764
"251",0,8,11,TRUE,TRUE,0.271899218676069
"252",0,8,12,TRUE,TRUE,0.271288761071927
"253",0,8,13,TRUE,TRUE,0.265097609572494
"254",0,8,14,TRUE,TRUE,0.2851546643752
"255",0,8,15,TRUE,TRUE,0.252548681283414
"256",0,8,16,TRUE,TRUE,0.278150895184758
"257",0,8,17,TRUE,TRUE,0.286745695828919
"258",0,8,18,TRUE,TRUE,0.240097167824745
"259",0,8,19,TRUE,TRUE,0.252907171669151
"260",0,8,20,TRUE,TRUE,0.24687303032369
"261",0,8,21,TRUE,TRUE,0.264659774413571
"262",0,8,22,TRUE,TRUE,0.265053248960805
"263",0,8,23,TRUE,TRUE,0.25010629350441
"264",0,8,24,TRUE,TRUE,0.277974245012574
"265",0,8,25,TRUE,TRUE,0.267342265351818
"266",0,8,26,TRUE,TRUE,0.246533023208232
"267",0,8,27,TRUE,TRUE,0.265978549785091
"268",0,8,28,TRUE,TRUE,0.318935380118497
"269",0,8,29,TRUE,TRUE,0.257347969791991
"270",0,8,30,TRUE,TRUE,0.277908996749355
"271",0,9,1,TRUE,TRUE,0.284071883197327
"272",0,9,2,TRUE,TRUE,0.276325481078412
"273",0,9,3,TRUE,TRUE,0.275659018901713
"274",0,9,4,TRUE,TRUE,0.267851477877132
"275",0,9,5,TRUE,TRUE,0.278684393206879
"276",0,9,6,TRUE,TRUE,0.269562173998954
"277",0,9,7,TRUE,TRUE,0.245232821874591
"278",0,9,8,TRUE,TRUE,0.254229100165491
"279",0,9,9,TRUE,TRUE,0.235685181296675
"280",0,9,10,TRUE,TRUE,0.266028503248596
"281",0,9,11,TRUE,TRUE,0.257894951724258
"282",0,9,12,TRUE,TRUE,0.269139428714812
"283",0,9,13,TRUE,TRUE,0.269894726233814
"284",0,9,14,TRUE,TRUE,0.241101401631972
"285",0,9,15,TRUE,TRUE,0.254063015128509
"286",0,9,16,TRUE,TRUE,0.282036505587556
"287",0,9,17,TRUE,TRUE,0.260367696852778
"288",0,9,18,TRUE,TRUE,0.247326300659783
"289",0,9,19,TRUE,TRUE,0.246653718507853
"290",0,9,20,TRUE,TRUE,0.25820918446228
"291",0,9,21,TRUE,TRUE,0.262161778675413
"292",0,9,22,TRUE,TRUE,0.282179706221258
"293",0,9,23,TRUE,TRUE,0.264699571711979
"294",0,9,24,TRUE,TRUE,0.249282446203242
"295",0,9,25,TRUE,TRUE,0.264331567621614
"296",0,9,26,TRUE,TRUE,0.287178096980005
"297",0,9,27,TRUE,TRUE,0.280293328635472
"298",0,9,28,TRUE,TRUE,0.244929157112945
"299",0,9,29,TRUE,TRUE,0.267729026884219
"300",0,9,30,TRUE,TRUE,0.261746931698298
"301",0,10,1,TRUE,TRUE,0.264112667343135
"302",0,10,2,TRUE,TRUE,0.284995525950745
"303",0,10,3,TRUE,TRUE,0.277985130730261
"304",0,10,4,TRUE,TRUE,0.266906936392789
"305",0,10,5,TRUE,TRUE,0.258573991077354
"306",0,10,6,TRUE,TRUE,0.273445004861466
"307",0,10,7,TRUE,TRUE,0.271698216436675
"308",0,10,8,TRUE,TRUE,0.267741619026772
"309",0,10,9,TRUE,TRUE,0.262469423071898
"310",0,10,10,TRUE,TRUE,0.273193211535487
"311",0,10,11,TRUE,TRUE,0.267519445868224
"312",0,10,12,TRUE,TRUE,0.26507101084969
"313",0,10,13,TRUE,TRUE,0.271091467357556
"314",0,10,14,TRUE,TRUE,0.287068413214656
"315",0,10,15,TRUE,TRUE,0.25838649257508
"316",0,10,16,TRUE,TRUE,0.255991396194366
"317",0,10,17,TRUE,TRUE,0.275954278735669
"318",0,10,18,TRUE,TRUE,0.254594724306183
"319",0,10,19,TRUE,TRUE,0.261048961923112
"320",0,10,20,TRUE,TRUE,0.243438117766278
"321",0,10,21,TRUE,TRUE,0.258756456974197
"322",0,10,22,TRUE,TRUE,0.292341439058603
"323",0,10,23,TRUE,TRUE,0.275564166360362
