"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,-0.05,0.05,0,0.05,0,0,-0.05,0,0.05,0,0.05,-0.2,0,-0.05,0,0.2,0.05,-0.05,0.05
"2",-0.2,0,0.2,0.05,0.05,0.2,-0.05,0.05,0,0,-0.05,0,-0.2,-0.05,-0.2,-0.05,0,0,0.2,-0.05
"3",0.2,0.05,0,-0.2,0.05,-0.05,0,0,-0.05,-0.2,0.05,0.2,0,-0.05,0.2,0,-0.05,0,0.2,0
"4",0,0.2,-0.2,0,0,0.2,0,0.2,0.2,0.2,0,-0.2,0.2,-0.2,0.05,0,0,0.05,0,0.2
"5",0.2,0.2,0.05,0,0,0.2,-0.05,-0.2,0,-0.2,0,-0.2,0.2,-0.05,0,0,0,-0.05,0.05,0
"6",0,0.2,-0.2,0.05,-0.05,0,0,0.2,-0.05,-0.2,0.05,0.05,0,0,0.2,0,0.05,-0.2,0,0.05
"7",0,0.2,0,0,-0.05,0,0,0,-0.2,-0.2,-0.05,0.05,0,0,0.05,0.05,-0.05,-0.2,0.2,0.2
"8",-0.2,-0.2,0,0.05,0.2,0.05,0,0,0.2,0,0.05,0,-0.05,-0.2,0.05,-0.05,0.05,0.05,0.2,-0.2
"9",0,0,0.2,0.2,0,0.05,0.05,0.05,0,-0.05,-0.05,0.2,0.05,0,-0.2,0.2,0.2,-0.2,0.05,-0.05
"10",-0.05,0,-0.05,0.2,-0.05,0.05,-0.2,0,0.2,0,0.05,-0.2,0.05,0,-0.2,0.2,-0.2,0.2,-0.05,0
"11",0,-0.05,0.2,0,0,0.05,0.2,-0.2,-0.05,0.2,0,0.05,-0.2,-0.2,0,-0.05,0.05,0,0.2,0.05
"12",0.2,0,0.2,0.2,-0.05,0.05,0.2,0,-0.2,-0.05,0.2,0,0,0.2,0,0,0,0,-0.05,0.05
"13",-0.05,0.2,0,-0.05,0.05,0,0,-0.05,-0.2,0.05,-0.2,0,0,0.05,0,0,-0.05,0,0,0.05
"14",0,-0.05,-0.05,-0.2,-0.05,0,0,-0.05,0,0,-0.2,-0.05,-0.05,0,0.2,0.2,0,-0.05,0,0
"15",0.05,-0.05,-0.2,-0.2,0,0.05,-0.05,0.05,-0.2,-0.05,0,0,0,-0.2,0,-0.05,0,-0.05,0.05,-0.05
"16",0,0.05,0,0,0,0,0.2,0.05,0.05,-0.2,-0.2,0,0,0.2,0.05,0,-0.2,-0.2,0.05,-0.2
"17",0.05,0,-0.2,0,0,0.2,0.2,0.2,0.2,-0.05,0.2,0,0.05,0,0,-0.2,0,0,-0.2,-0.05
"18",-0.2,0,0,0.05,0.05,0.2,-0.05,0.2,-0.2,0.2,0,0,0,0.05,-0.2,-0.05,0,0,-0.05,0.2
"19",-0.2,0.2,0.05,0,0.2,0,0.2,0.05,0.05,-0.05,-0.2,0.2,0,0,-0.2,-0.2,-0.05,-0.2,0,0.05
"20",-0.2,-0.05,0,-0.05,0,0.05,0.2,0.2,-0.05,0,0.05,-0.05,0.05,0,-0.05,-0.05,0.05,0.2,-0.2,0
