"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,-0.2,0,0,0,0,-0.2,0,0,-0.2,0.2,-0.2,0,-0.2,0.2,0,0.2,0,0.2,0
"2",-0.2,0,0,0,0,0.2,0,-0.2,0,0,0,-0.2,-0.2,0,0,-0.2,0,0,0.2,-0.2
"3",0,0,0,-0.2,-0.2,0,0,0,0.2,-0.2,0.2,-0.2,0,0,0.2,0,0,-0.2,0,0.2
"4",0,0,-0.2,0,-0.2,0,0.2,0,0,0.2,0,0,0,0,-0.2,0.2,0,-0.2,0,0
"5",0,0,0.2,-0.2,0,0.2,0,0,0.2,0.2,0,0,-0.2,0,0,0,0,-0.2,-0.2,0
"6",0,0.2,0,0,0.2,0,-0.2,0,0,0,-0.2,0,0,-0.2,0.2,0.2,0,0,0.2,0
"7",0.2,0,0,0.2,0,-0.2,0,0,0,0,0,0.2,0,0.2,0,0,0,-0.2,-0.2,0
"8",0,-0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0,-0.2,-0.2,0,0,-0.2
"9",0,0,0.2,0,0.2,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0.2,0,0,0.2
"10",-0.2,0,-0.2,0.2,-0.2,0,0,0.2,0,0,0,0,0.2,0,0,-0.2,0,0.2,0.2,0
"11",-0.2,0,0.2,0,0,-0.2,0,0,-0.2,0,0,-0.2,0,0,-0.2,0,-0.2,0,0,0.2
"12",0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0.2,0,-0.2,0.2,0,0.2,0,0,0,0
"13",0,0.2,0,0,0.2,0,0,0,-0.2,0.2,0,0.2,0,0,0.2,-0.2,0.2,0,0,0
"14",0.2,0,0,0,0,-0.2,0.2,0.2,0,0,0,0.2,0,0,0.2,-0.2,0.2,0,-0.2,0.2
"15",0.2,0,0.2,-0.2,0,-0.2,0,0,0,0,-0.2,0,0.2,0.2,0,0,0,0,0.2,0
"16",0,-0.2,0,0.2,0,0.2,0,-0.2,0,-0.2,0,-0.2,-0.2,0.2,0,0,0,0.2,0,0
"17",-0.2,0,0,0,0,0,0,-0.2,-0.2,0,-0.2,0,-0.2,0.2,0,0,0,-0.2,0.2,0.2
"18",0,0,-0.2,-0.2,-0.2,0,-0.2,0,0,0.2,0,0,0,0,0,-0.2,-0.2,0,0,-0.2
"19",0.2,0.2,0,0,-0.2,-0.2,-0.2,0,0,-0.2,0,0,0,-0.2,0.2,0,0.2,0,0,0.2
"20",0,-0.2,0.2,0,0,0,0,-0.2,0.2,0,0.2,0,0,0.2,0,0,0.2,-0.2,0.2,0
