"","pC","pD","pM","rep","stability","oscilations","resilience"
"C",0.28,0.39,0.33,1,FALSE,TRUE,0.376045424308897
"C1",0.35,0.36,0.29,2,FALSE,TRUE,0.33336220212669
"C2",0.292929292929293,0.333333333333333,0.373737373737374,3,FALSE,TRUE,0.501020621866445
"C3",0.29,0.32,0.39,4,FALSE,TRUE,0.424559156847089
"C4",0.33,0.34,0.33,5,TRUE,TRUE,0.389294772181729
"C5",0.3,0.32,0.38,6,TRUE,TRUE,0.380741289325455
"C6",0.39,0.27,0.34,7,FALSE,TRUE,0.478632413426152
"C7",0.36,0.31,0.33,8,TRUE,TRUE,0.429453188981597
"C8",0.31,0.36,0.33,9,FALSE,TRUE,0.317926489325923
"C9",0.28,0.31,0.41,10,FALSE,TRUE,0.512403812518113
"C10",0.454545454545455,0.282828282828283,0.262626262626263,11,FALSE,TRUE,0.417192531580689
"C11",0.36,0.32,0.32,12,FALSE,TRUE,0.335798686679085
"C12",0.32,0.33,0.35,13,FALSE,TRUE,0.45786534894883
"C13",0.26,0.44,0.3,14,TRUE,TRUE,0.291839357830644
"C14",0.353535353535354,0.303030303030303,0.343434343434343,15,FALSE,TRUE,0.431109616314146
"C15",0.32,0.25,0.43,16,FALSE,TRUE,0.441080739261336
"C16",0.34,0.33,0.33,17,TRUE,TRUE,0.369483287487795
"C17",0.242424242424242,0.343434343434343,0.414141414141414,18,TRUE,TRUE,0.411139695664295
"C18",0.23,0.39,0.38,19,FALSE,TRUE,0.385467468601259
"C19",0.414141414141414,0.292929292929293,0.292929292929293,20,FALSE,TRUE,0.347488798705983
"C22",0.03,0.02,0.95,8,TRUE,TRUE,0.201387696244885
"C24",0.02,0.01,0.97,12,TRUE,TRUE,0.203602943110173
"C27",0.01,0.02,0.97,17,TRUE,TRUE,0.212630187086873
"C28",0.0202020202020202,0.0202020202020202,0.95959595959596,18,TRUE,TRUE,0.202037648092761
"C29",0.0101010101010101,0.0202020202020202,0.96969696969697,20,TRUE,TRUE,0.20540486863321
"C31",0.01,0.01,0.98,3,TRUE,TRUE,0.196569413942179
"C33",0.02,0.01,0.97,6,TRUE,TRUE,0.213399601806264
"C34",0.01,0.01,0.98,7,TRUE,TRUE,0.201175015126145
"C36",0.0101010101010101,0.0202020202020202,0.96969696969697,10,TRUE,TRUE,0.202723046219323
"C44",0.01,0.01,0.98,8,TRUE,TRUE,0.203266707992201
"C51",0.01,0.01,0.98,15,TRUE,TRUE,0.205365222585878
"C62",0.01,0.01,0.98,17,TRUE,TRUE,0.198723825516045
"C67",0.01,0.97,0.02,2,TRUE,TRUE,0.272736968491443
"C71",0.01,0.98,0.01,8,FALSE,TRUE,0.292340934298132
"C72",0.01,0.97,0.02,9,TRUE,TRUE,0.280982286647222
"C76",0.01,0.98,0.01,14,TRUE,TRUE,0.24926505740943
"C78",0.0202020202020202,0.96969696969697,0.0101010101010101,16,FALSE,TRUE,0.356493183939826
"C79",0.01,0.98,0.01,18,TRUE,TRUE,0.296292526129523
"C80",0.01,0.55,0.44,1,TRUE,TRUE,0.232434196723065
"C81",0.01,0.42,0.57,4,TRUE,TRUE,0.200739020255599
"C82",0.0101010101010101,0.434343434343434,0.555555555555556,5,TRUE,TRUE,0.273446896151354
"C83",0.01,0.55,0.44,6,TRUE,TRUE,0.211706761364323
"C84",0.01,0.58,0.41,9,TRUE,TRUE,0.241523583738476
"C85",0.01,0.51,0.48,10,TRUE,TRUE,0.204924446068451
"C86",0.0101010101010101,0.424242424242424,0.565656565656566,16,TRUE,TRUE,0.266142391757459
"C87",0.01,0.49,0.5,19,TRUE,TRUE,0.213445944337587
"C88",0.0101010101010101,0.404040404040404,0.585858585858586,20,TRUE,TRUE,0.261716394381838
"C89",0.01,0.37,0.62,6,TRUE,TRUE,0.211143430823503
"C90",0.01,0.23,0.76,18,TRUE,TRUE,0.200402299617622
"C91",0.01,0.32,0.67,2,TRUE,TRUE,0.267076139803652
"C92",0.03,0.22,0.75,3,TRUE,TRUE,0.20526624941878
"C93",0.01,0.26,0.73,9,TRUE,TRUE,0.195076083342368
"C94",0.01,0.18,0.81,1,TRUE,TRUE,0.197512614188064
"C95",0.02,0.17,0.81,2,TRUE,TRUE,0.225544770775525
"C96",0.01,0.19,0.8,10,TRUE,TRUE,0.199918798669402
"C97",0.01,0.11,0.88,16,TRUE,TRUE,0.257470947357563
"C98",0.01,0.17,0.82,20,TRUE,TRUE,0.198129013664621
"C99",0.01,0.12,0.87,18,TRUE,TRUE,0.198202236398597
"C100",0.02,0.22,0.76,19,TRUE,TRUE,0.212223584946138
"C101",0.01,0.11,0.88,7,TRUE,TRUE,0.201778645111113
"C102",0.01,0.14,0.85,2,TRUE,TRUE,0.203051534903967
